year,category,nominee,movie,winner,id
2000,actress in a leading role,Joan Allen,The Contender,0,740
2003,actor in a supporting role,Alec Baldwin,The Cooler,0,32
2008,actor in a leading role,Brad Pitt,The Curious Case of Benjamin Button,0,167
2008,actress in a supporting role,Taraji P. Henson,The Curious Case of Benjamin Button,0,1420
2008,actor in a supporting role,Heath Ledger,The Dark Knight,1,551
2006,actor in a supporting role,Mark Wahlberg,The Departed,0,995
2011,actor in a leading role,George Clooney,The Descendants,0,479
2006,actress in a leading role,Meryl Streep,The Devil Wears Prada,0,1063
2010,actress in a supporting role,Amy Adams,The Fighter,0,45
2010,actor in a supporting role,Christian Bale,The Fighter,1,245
2010,actress in a supporting role,Melissa Leo,The Fighter,1,1042
2011,actress in a leading role,Rooney Mara,The Girl with the Dragon Tattoo,0,1301
2011,actress in a supporting role,Jessica Chastain,The Help,0,724
2011,actress in a supporting role,Octavia Spencer,The Help,1,1142
2011,actress in a leading role,Viola Davis,The Help,0,1489
2002,actor in a supporting role,Ed Harris,The Hours,0,357
2002,actress in a supporting role,Julianne Moore,The Hours,0,830
2002,actress in a leading role,Nicole Kidman,The Hours,1,1134
2009,actor in a leading role,Jeremy Renner,The Hurt Locker,0,721
2012,actress in a leading role,Naomi Watts,The Impossible,0,1120
2011,actress in a leading role,Meryl Streep,The Iron Lady,1,1066
2010,actress in a leading role,Annette Bening,The Kids Are All Right,0,87
2010,actor in a supporting role,Mark Ruffalo,The Kids Are All Right,0,994
2010,actor in a leading role,Colin Firth,The King's Speech,1,273
2010,actor in a supporting role,Geoffrey Rush,The King's Speech,0,469
2010,actress in a supporting role,Helena Bonham Carter,The King's Speech,0,560
2006,actor in a leading role,Forest Whitaker,The Last King of Scotland,1,426
2003,actor in a supporting role,Ken Watanabe,The Last Samurai,0,877
2009,actor in a supporting role,Christopher Plummer,The Last Station,0,249
2009,actress in a leading role,Helen Mirren,The Last Station,0,558
2001,actor in a supporting role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,0,584
2009,actor in a supporting role,Stanley Tucci,The Lovely Bones,0,1393
2012,actress in a supporting role,Amy Adams,The Master,0,46
2012,actor in a leading role,Joaquin Phoenix,The Master,0,759
2012,actor in a supporting role,Philip Seymour Hoffman,The Master,0,1210
2009,actor in a supporting role,Woody Harrelson,The Messenger,0,1539
2002,actor in a leading role,Adrien Brody,The Pianist,1,4
2006,actor in a leading role,Will Smith,The Pursuit of Happyness,0,1518
2006,actress in a leading role,Helen Mirren,The Queen,1,557
2002,actor in a leading role,Michael Caine,The Quiet American,0,1072
2008,actress in a leading role,Kate Winslet,The Reader,1,855
2007,actress in a leading role,Laura Linney,The Savages,0,899
2012,actress in a supporting role,Helen Hunt,The Sessions,0,554
2010,actor in a leading role,Jesse Eisenberg,The Social Network,0,723
2010,actor in a supporting role,Jeremy Renner,The Town,0,722
2008,actor in a leading role,Richard Jenkins,The Visitor,0,1250
2008,actress in a supporting role,Marisa Tomei,The Wrestler,0,990
2008,actor in a leading role,Mickey Rourke,The Wrestler,0,1093
2007,actor in a leading role,Daniel Day-Lewis,There Will Be Blood,1,287
2003,actress in a supporting role,Holly Hunter,Thirteen,0,570
2011,actor in a leading role,Gary Oldman,Tinker Tailor Soldier Spy,0,450
2000,actor in a supporting role,Benicio Del Toro,Traffic,1,138
2001,actor in a leading role,Denzel Washington,Training Day,1,313
2001,actor in a supporting role,Ethan Hawke,Training Day,0,407
2005,actress in a leading role,Felicity Huffman,Transamerica,0,423
2008,actor in a supporting role,Robert Downey Jr.,Tropic Thunder,0,1267
2010,actress in a supporting role,Hailee Steinfeld,True Grit,0,540
2010,actor in a leading role,Jeff Bridges,True Grit,0,708
2002,actress in a leading role,Diane Lane,Unfaithful,0,327
2009,actress in a supporting role,Anna Kendrick,Up in the Air,0,65
2009,actor in a leading role,George Clooney,Up in the Air,0,478
2009,actress in a supporting role,Vera Farmiga,Up in the Air,0,1482
2006,actor in a leading role,Peter O'Toole,Venus,0,1201
2004,actress in a leading role,Imelda Staunton,Vera Drake,0,586
2008,actress in a supporting role,Pen_lope Cruz,Vicky Cristina Barcelona,1,1184
2006,actress in a leading role,Pen_lope Cruz,Volver,0,1183
2005,actor in a leading role,Joaquin Phoenix,Walk the Line,0,758
2005,actress in a leading role,Reese Witherspoon,Walk the Line,1,1229
2011,actor in a supporting role,Nick Nolte,Warrior,0,1130
2003,actress in a leading role,Keisha Castle-Hughes,Whale Rider,0,876
2010,actress in a leading role,Jennifer Lawrence,Winter's Bone,0,717
2010,actor in a supporting role,John Hawkes,Winter's Bone,0,776
2000,actress in a leading role,Laura Linney,You Can Count on Me,0,897
2012,actress in a leading role,Jessica Chastain,Zero Dark Thirty,0,725
1952,actress in a supporting role,Colette Marchand,Moulin Rouge,0,271
1952,actor,Jos_ Ferrer,Moulin Rouge,0,802
1969,actor,John Wayne,True Grit,1,791
