id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,image,summary,links
212,https://www.tvmaze.com/episodes/212/homeland-2x12-the-choice,The Choice,2,12,regular,2012-12-16,22:00,2012-12-17T03:00:00+00:00,60,8.6,https://static.tvmaze.com/uploads/images/medium_landscape/5/14601.jpg,"In the Series 2 finale, Carrie is faced with a pivotal decision, while Brody meets with Faber to contemplate the future of the family. Meanwhile, Saul undertakes a secret assignment; and Quinn has a decision to make that may prove to be a game-changer.",https://api.tvmaze.com/episodes/212
213,https://www.tvmaze.com/episodes/213/homeland-3x01-tin-man-is-down,Tin Man is Down,3,1,regular,2013-09-29,21:00,2013-09-30T01:00:00+00:00,60,7.5,https://static.tvmaze.com/uploads/images/medium_landscape/1/4002.jpg,"Season 3 begins with Brody remaining at large, while Carrie is called to testify before a senate committee investigating the terrorist bombing in Washington, D.C. Meanwhile, Saul takes command at the CIA; and the Brody family deal with a tragic occurrence.",https://api.tvmaze.com/episodes/213
214,https://www.tvmaze.com/episodes/214/homeland-3x02-uh-oh-ah,Uh... Oh... Ah...,3,2,regular,2013-10-06,21:00,2013-10-07T01:00:00+00:00,60,7.3,https://static.tvmaze.com/uploads/images/medium_landscape/1/4004.jpg,"Saul attempts to track down those responsible for the Langley attack and recruits an unlikely expert to follow the money trail. Meanwhile, Quinn takes matters into his own hands; Carrie learns who is really on her side; and the Brody family turn to therapy to mend their broken household.",https://api.tvmaze.com/episodes/214
215,https://www.tvmaze.com/episodes/215/homeland-3x03-tower-of-david,Tower of David,3,3,regular,2013-10-13,21:00,2013-10-14T01:00:00+00:00,60,7.2,https://static.tvmaze.com/uploads/images/medium_landscape/5/14602.jpg,"Brody returns to his faith for guidance in an unexpected way when he finds himself facing increasingly desperate straits. Back in the U.S., Carrie struggles to connect with Saul when a mysterious man offers to help her but at a significant cost.",https://api.tvmaze.com/episodes/215
216,https://www.tvmaze.com/episodes/216/homeland-3x04-game-on,Game On,3,4,regular,2013-10-20,21:00,2013-10-21T01:00:00+00:00,60,7.9,https://static.tvmaze.com/uploads/images/medium_landscape/5/14603.jpg,"Carrie meets a new client over breakfast and learns that the crippled CIA can still exercise power when needed. Meanwhile, Dana runs away and Jessica seeks the police's help in finding her; and Saul follows the money trail to an unexpected location.",https://api.tvmaze.com/episodes/216
217,https://www.tvmaze.com/episodes/217/homeland-3x05-the-yoga-play,The Yoga Play,3,5,regular,2013-10-27,21:00,2013-10-28T01:00:00+00:00,60,7.5,https://static.tvmaze.com/uploads/images/medium_landscape/5/14604.jpg,"A mysterious man enters the country at the U.S.-Canadian border; Carrie puts her mission on the line to do a risky favor; Saul is forced to socialize with his adversary, Sen. Lockhart, on an elite hunting trip; Dana makes a shocking discovery that could end her getaway for good.",https://api.tvmaze.com/episodes/217
218,https://www.tvmaze.com/episodes/218/homeland-3x06-still-positive,Still Positive,3,6,regular,2013-11-03,21:00,2013-11-04T02:00:00+00:00,60,7.9,https://static.tvmaze.com/uploads/images/medium_landscape/5/14605.jpg,"Carrie turns the tables on the mastermind of the Langley bombing and recruits one of Iran's most powerful operatives. Meanwhile, Saul struggles to keep an intrusive Sen. Lockhart at bay; and Dana makes a radical decision that changes her family forever.",https://api.tvmaze.com/episodes/218
219,https://www.tvmaze.com/episodes/219/homeland-3x07-gerontion,Gerontion,3,7,regular,2013-11-10,21:00,2013-11-11T02:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/5/14606.jpg,"With his old adversary in custody, Saul makes the gamble of his career. Meanwhile, Carrie and Quinn scramble to contain a local police investigation; and Mira comes to a crossroad in her marriage.",https://api.tvmaze.com/episodes/219
220,https://www.tvmaze.com/episodes/220/homeland-3x08-a-red-wheelbarrow,A Red Wheelbarrow,3,8,regular,2013-11-17,21:00,2013-11-18T02:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/5/14607.jpg,Carrie and Quinn pursue a key suspect in the Langley bombing; Saul faces political backlash; Fara discovers the high toll that an intelligence job can take; the Brody family receive startling news.,https://api.tvmaze.com/episodes/220
221,https://www.tvmaze.com/episodes/221/homeland-3x09-one-last-thing,One Last Thing,3,9,regular,2013-11-24,21:00,2013-11-25T02:00:00+00:00,60,8.2,https://static.tvmaze.com/uploads/images/medium_landscape/5/14608.jpg,"Carrie reunites with Brody, but the circumstances are more difficult than either of them imagined. Meanwhile, Saul gets a win from an unlikely source; and Dana struggles with her new life away from home.",https://api.tvmaze.com/episodes/221
222,https://www.tvmaze.com/episodes/222/homeland-3x10-good-night,Good Night,3,10,regular,2013-12-01,21:00,2013-12-02T02:00:00+00:00,60,8.1,https://static.tvmaze.com/uploads/images/medium_landscape/5/14609.jpg,"Brody embarks on a high-stakes mission, but his fragile condition threatens the operation. Meanwhile, Quinn makes an uncomfortable discovery about Carrie; and Fara is forced to rejoin the team due to a sudden crisis.",https://api.tvmaze.com/episodes/222
223,https://www.tvmaze.com/episodes/223/homeland-3x11-big-man-in-tehran,Big Man in Tehran,3,11,regular,2013-12-08,21:00,2013-12-09T02:00:00+00:00,60,8.4,https://static.tvmaze.com/uploads/images/medium_landscape/5/14610.jpg,"Brody's loyalty to the mission wavers when he meets a ghost from his past. Meanwhile, Lockhart's confirmation looms; and Saul stares into the precipice between success and failure.",https://api.tvmaze.com/episodes/223
224,https://www.tvmaze.com/episodes/224/homeland-3x12-the-star,The Star,3,12,regular,2013-12-15,21:00,2013-12-16T02:00:00+00:00,60,7.9,https://static.tvmaze.com/uploads/images/medium_landscape/5/14611.jpg,"Season 3 ends with security forces closing in on Carrie and Brody, and Brody struggling to find redemption. Meanwhile, Saul plans a last-ditch rescue mission.",https://api.tvmaze.com/episodes/224
225,https://www.tvmaze.com/episodes/225/homeland-4x01-the-drone-queen,The Drone Queen,4,1,regular,2014-10-05,21:00,2014-10-06T01:00:00+00:00,60,7.7,https://static.tvmaze.com/uploads/images/medium_landscape/1/4197.jpg,Carrie makes a vital choice when her counterpart in Islamabad gives her urgent intelligence resulting in a media disaster. Saul has issues with his new position/job.,https://api.tvmaze.com/episodes/225
226,https://www.tvmaze.com/episodes/226/homeland-4x02-trylon-and-perisphere,Trylon and Perisphere,4,2,regular,2014-10-05,21:00,2014-10-06T01:00:00+00:00,60,7.2,https://static.tvmaze.com/uploads/images/medium_landscape/1/4198.jpg,An inquiry brings Carrie back to the US where she has issues debating between her motherhood duties and her commitment to solving the drone strike issue. Quinn becomes more mentally unstable and an old case worker reveals new information.,https://api.tvmaze.com/episodes/226
227,https://www.tvmaze.com/episodes/227/homeland-4x03-shalwar-kameez,Shalwar Kameez,4,3,regular,2014-10-12,21:00,2014-10-13T01:00:00+00:00,60,7.3,https://static.tvmaze.com/uploads/images/medium_landscape/1/4199.jpg,Carrie attempts to recruit an asset and leaves the US again. Quinn has further issues and communicates with the lady he previous protected and the CIA question his resignation.,https://api.tvmaze.com/episodes/227
228,https://www.tvmaze.com/episodes/228/homeland-4x04-iron-in-the-fire,Iron in the Fire,4,4,regular,2014-10-19,21:00,2014-10-20T01:00:00+00:00,60,7.3,https://static.tvmaze.com/uploads/images/medium_landscape/1/4692.jpg,Carrie gets a tip from Redmond regarding Quinn's lead. Saul calls in a favor with an old friend in the Pakistani military. Fara uncovers a deep-rooted conspiracy.,https://api.tvmaze.com/episodes/228
229,https://www.tvmaze.com/episodes/229/homeland-4x05-about-a-boy,About a Boy,4,5,regular,2014-10-26,21:00,2014-10-27T01:00:00+00:00,60,7,https://static.tvmaze.com/uploads/images/medium_landscape/2/5748.jpg,"Carrie tries to earn the trust of a frightened asset. On his way out of town, Saul catches a break when he spots a familiar face. Quinn and Fara stake out a new suspect.",https://api.tvmaze.com/episodes/229
230,https://www.tvmaze.com/episodes/230/homeland-4x06-from-a-to-b-and-back-again,From A to B and Back Again,4,6,regular,2014-11-02,21:00,2014-11-03T02:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/2/7394.jpg,Carrie puts her operation in motion.,https://api.tvmaze.com/episodes/230
14043,https://www.tvmaze.com/episodes/14043/homeland-4x07-redux,Redux,4,7,regular,2014-11-09,21:00,2014-11-10T02:00:00+00:00,60,7.6,https://static.tvmaze.com/uploads/images/medium_landscape/3/9712.jpg,"Lockhart arrives in Islamabad to help negotiate Saul's release. Meanwhile, Carrie's investigation gets complicated as she deals with Saul's situation, the search for a hospital employee with the key to Haqqani's true medical condition and a serious threat to her own sharp focus.",https://api.tvmaze.com/episodes/14043
14044,https://www.tvmaze.com/episodes/14044/homeland-4x08-halfway-to-a-donut,Halfway to a Donut,4,8,regular,2014-11-16,21:00,2014-11-17T02:00:00+00:00,60,7.9,https://static.tvmaze.com/uploads/images/medium_landscape/4/11029.jpg,Carrie organizes a last-ditch operation. Lockhart and Martha stall the ISI.,https://api.tvmaze.com/episodes/14044
14045,https://www.tvmaze.com/episodes/14045/homeland-4x09-theres-something-else-going-on,There's Something Else Going On,4,9,regular,2014-11-23,21:00,2014-11-24T02:00:00+00:00,60,8.3,https://static.tvmaze.com/uploads/images/medium_landscape/4/12429.jpg,Carrie improvises to salvage her mission; the CIA closes in on a leak,https://api.tvmaze.com/episodes/14045
14046,https://www.tvmaze.com/episodes/14046/homeland-4x10-13-hours-in-islamabad,13 Hours in Islamabad,4,10,regular,2014-12-07,21:00,2014-12-08T02:00:00+00:00,60,8.1,https://static.tvmaze.com/uploads/images/medium_landscape/4/12430.jpg,The security breach at the Embassy has far reaching consequences.,https://api.tvmaze.com/episodes/14046
14047,https://www.tvmaze.com/episodes/14047/homeland-4x11-krieg-nicht-lieb,Krieg Nicht Lieb,4,11,regular,2014-12-14,21:00,2014-12-15T02:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/6/16144.jpg,Carrie puts her life on the line to get her team out of Pakistan.,https://api.tvmaze.com/episodes/14047
14048,https://www.tvmaze.com/episodes/14048/homeland-4x12-long-time-coming,Long Time Coming,4,12,regular,2014-12-21,21:00,2014-12-22T02:00:00+00:00,60,7,https://static.tvmaze.com/uploads/images/medium_landscape/6/16963.jpg,Series 4 ends with Carrie and Saul returning to the U.S. and investigating what she saw in Islamabad.,https://api.tvmaze.com/episodes/14048
202563,https://www.tvmaze.com/episodes/202563/homeland-5x01-separation-anxiety,Separation Anxiety,5,1,regular,2015-10-04,21:00,2015-10-05T01:00:00+00:00,60,7.6,https://static.tvmaze.com/uploads/images/medium_landscape/26/65374.jpg,"While Carrie tries to build a new life in Berlin, a request from her boss forces her back into the world she abandoned.",https://api.tvmaze.com/episodes/202563
202564,https://www.tvmaze.com/episodes/202564/homeland-5x02-the-tradition-of-hospitality,The Tradition of Hospitality,5,2,regular,2015-10-11,21:00,2015-10-12T01:00:00+00:00,60,7.6,https://static.tvmaze.com/uploads/images/medium_landscape/26/65352.jpg,Carrie and Düring visit a refugee camp. Saul and Allison are at odds.,https://api.tvmaze.com/episodes/202564
202565,https://www.tvmaze.com/episodes/202565/homeland-5x03-super-powers,Super Powers,5,3,regular,2015-10-18,21:00,2015-10-19T01:00:00+00:00,60,8.5,https://static.tvmaze.com/uploads/images/medium_landscape/25/63468.jpg,Jonas and Carrie revisit her past. Quinn stalks his prey.,https://api.tvmaze.com/episodes/202565
203897,https://www.tvmaze.com/episodes/203897/homeland-5x04-why-is-this-night-different,Why is This Night Different?,5,4,regular,2015-10-25,21:00,2015-10-26T01:00:00+00:00,60,8.3,https://static.tvmaze.com/uploads/images/medium_landscape/26/65351.jpg,Answers elude Carrie; Laura asks Jonas for help; Saul and Allison run an operation.,https://api.tvmaze.com/episodes/203897
203898,https://www.tvmaze.com/episodes/203898/homeland-5x05-better-call-saul,Better Call Saul,5,5,regular,2015-11-01,21:00,2015-11-02T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/27/69680.jpg,The hacktivists rise up; Quinn covers for Carrie; Dar and Allison assess the damage.,https://api.tvmaze.com/episodes/203898
203899,https://www.tvmaze.com/episodes/203899/homeland-5x06-parabiosis,Parabiosis,5,6,regular,2015-11-08,21:00,2015-11-09T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/27/69683.jpg,Saul orders a sweep at the station. Carrie looks to Düring for support.,https://api.tvmaze.com/episodes/203899
203900,https://www.tvmaze.com/episodes/203900/homeland-5x07-oriole,Oriole,5,7,regular,2015-11-15,21:00,2015-11-16T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/30/75196.jpg,Carrie reconnects with old friends; Saul opens up to Allison.,https://api.tvmaze.com/episodes/203900
203901,https://www.tvmaze.com/episodes/203901/homeland-5x08-all-about-allison,All About Allison,5,8,regular,2015-11-22,21:00,2015-11-23T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/31/78074.jpg,Carrie needs Allison's help. Quinn's plans change.,https://api.tvmaze.com/episodes/203901
316119,https://www.tvmaze.com/episodes/316119/homeland-5x09-the-litvinov-ruse,The Litvinov Ruse,5,9,regular,2015-11-29,21:00,2015-11-30T02:00:00+00:00,60,8.3,https://static.tvmaze.com/uploads/images/medium_landscape/32/81212.jpg,The CIA and BND make a play.,https://api.tvmaze.com/episodes/316119
203903,https://www.tvmaze.com/episodes/203903/homeland-5x10-new-normal,New Normal,5,10,regular,2015-12-06,21:00,2015-12-07T02:00:00+00:00,60,7.8,https://static.tvmaze.com/uploads/images/medium_landscape/33/83305.jpg,A new threat emerges.,https://api.tvmaze.com/episodes/203903
455542,https://www.tvmaze.com/episodes/455542/homeland-5x11-our-man-in-damascus,Our Man in Damascus,5,11,regular,2015-12-13,21:00,2015-12-14T02:00:00+00:00,60,8.4,https://static.tvmaze.com/uploads/images/medium_landscape/34/86214.jpg,Carrie follows a lead.,https://api.tvmaze.com/episodes/455542
203905,https://www.tvmaze.com/episodes/203905/homeland-5x12-a-false-glimmer,A False Glimmer,5,12,regular,2015-12-20,21:00,2015-12-21T02:00:00+00:00,60,8.2,https://static.tvmaze.com/uploads/images/medium_landscape/35/88455.jpg,The clock runs out.,https://api.tvmaze.com/episodes/203905
893163,https://www.tvmaze.com/episodes/893163/homeland-6x01-fair-game,Fair Game,6,1,regular,2017-01-15,21:00,2017-01-16T02:00:00+00:00,60,7.4,https://static.tvmaze.com/uploads/images/medium_landscape/91/228389.jpg,Carrie and Franny live in Brooklyn where Carrie works as an advocate for Muslim Americans. Dar and Saul brief President-elect Keane. Quinn struggles with his new circumstances.,https://api.tvmaze.com/episodes/893163
945990,https://www.tvmaze.com/episodes/945990/homeland-6x02-the-man-in-the-basement,The Man in the Basement,6,2,regular,2017-01-22,21:00,2017-01-23T02:00:00+00:00,60,7.4,https://static.tvmaze.com/uploads/images/medium_landscape/94/235141.jpg,Carrie and Reda fight for their client while Quinn fights against his new life. Saul and Dar suspect Keane has a secret.,https://api.tvmaze.com/episodes/945990
945991,https://www.tvmaze.com/episodes/945991/homeland-6x03-the-covenant,The Covenant,6,3,regular,2017-01-29,21:00,2017-01-30T02:00:00+00:00,60,7.5,https://static.tvmaze.com/uploads/images/medium_landscape/94/236577.jpg,Saul goes to Abu Dhabi. Carrie delivers bad news. Quinn senses something.,https://api.tvmaze.com/episodes/945991
945992,https://www.tvmaze.com/episodes/945992/homeland-6x04-a-flash-of-light,A Flash of Light,6,4,regular,2017-02-12,21:00,2017-02-13T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/95/238997.jpg,Carrie handles her client. Saul's trip takes a turn. Quinn investigates.,https://api.tvmaze.com/episodes/945992
945993,https://www.tvmaze.com/episodes/945993/homeland-6x05-casus-belli,Casus Belli,6,5,regular,2017-02-19,21:00,2017-02-20T02:00:00+00:00,60,8.2,https://static.tvmaze.com/uploads/images/medium_landscape/98/245240.jpg,Keane gets sidelined. Carrie's work follows her home.,https://api.tvmaze.com/episodes/945993
945994,https://www.tvmaze.com/episodes/945994/homeland-6x06-the-return,The Return,6,6,regular,2017-02-26,21:00,2017-02-27T02:00:00+00:00,60,8.1,https://static.tvmaze.com/uploads/images/medium_landscape/99/248165.jpg,Carrie follows a lead. Saul meets an old friend. Keane takes a stand.,https://api.tvmaze.com/episodes/945994
945995,https://www.tvmaze.com/episodes/945995/homeland-6x07-imminent-risk,Imminent Risk,6,7,regular,2017-03-05,21:00,2017-03-06T02:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/100/252459.jpg,Carrie gets bad news. Saul makes a plan. Quinn accepts his situation.,https://api.tvmaze.com/episodes/945995
945996,https://www.tvmaze.com/episodes/945996/homeland-6x08-alttruth,Alt.Truth,6,8,regular,2017-03-12,21:00,2017-03-13T01:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/102/255129.jpg,Carrie and Saul present evidence to Keane. Quinn tracks a mark.,https://api.tvmaze.com/episodes/945996
945997,https://www.tvmaze.com/episodes/945997/homeland-6x09-sock-puppets,Sock Puppets,6,9,regular,2017-03-19,21:00,2017-03-20T01:00:00+00:00,60,8,https://static.tvmaze.com/uploads/images/medium_landscape/102/257371.jpg,Carrie catches a break. Keane makes a plan. Max goes undercover.,https://api.tvmaze.com/episodes/945997
